,bufcap,bandwidth,rtt,trial,cc,retx_
313,10000,20,75,2,cubic,
314,10000,20,75,3,bbr,
315,10000,20,75,3,cubic,985.0
316,10000,20,75,4,bbr,
317,10000,20,75,4,cubic,248.0
318,10000,20,75,5,bbr,
319,10000,20,75,5,cubic,
320,10000,250,100,1,bbr,
321,10000,250,100,1,cubic,
322,10000,250,100,2,bbr,
323,10000,250,100,2,cubic,
324,10000,250,100,3,bbr,
325,10000,250,100,3,cubic,
326,10000,250,100,4,bbr,
327,10000,250,100,4,cubic,
328,10000,250,100,5,bbr,
329,10000,250,100,5,cubic,
330,10000,250,10,1,bbr,
331,10000,250,10,1,cubic,
332,10000,250,10,2,bbr,958.0
333,10000,250,10,2,cubic,
334,10000,250,10,3,bbr,533.0
335,10000,250,10,3,cubic,
336,10000,250,10,4,bbr,
337,10000,250,10,4,cubic,
338,10000,250,10,5,bbr,1676.0
339,10000,250,10,5,cubic,349.0
340,10000,250,150,1,bbr,
341,10000,250,150,1,cubic,
342,10000,250,150,2,bbr,
343,10000,250,150,2,cubic,
344,10000,250,150,3,bbr,
345,10000,250,150,3,cubic,
346,10000,250,150,4,bbr,
347,10000,250,150,4,cubic,
348,10000,250,150,5,bbr,
349,10000,250,150,5,cubic,
350,10000,250,200,1,bbr,
351,10000,250,200,1,cubic,
352,10000,250,200,2,bbr,
353,10000,250,200,2,cubic,
354,10000,250,200,3,bbr,
355,10000,250,200,3,cubic,
356,10000,250,200,4,bbr,
357,10000,250,200,4,cubic,
358,10000,250,200,5,bbr,
359,10000,250,200,5,cubic,
360,10000,250,25,1,bbr,
361,10000,250,25,1,cubic,
362,10000,250,25,2,bbr,562.0
363,10000,250,25,2,cubic,
364,10000,250,25,3,bbr,166.0
365,10000,250,25,3,cubic,
366,10000,250,25,4,bbr,
367,10000,250,25,4,cubic,
368,10000,250,25,5,bbr,278.0
369,10000,250,25,5,cubic,
370,10000,250,50,1,bbr,
371,10000,250,50,1,cubic,
372,10000,250,50,2,bbr,
373,10000,250,50,2,cubic,
374,10000,250,50,3,bbr,
375,10000,250,50,3,cubic,
376,10000,250,50,4,bbr,
377,10000,250,50,4,cubic,
378,10000,250,50,5,bbr,
379,10000,250,50,5,cubic,
380,10000,250,5,1,bbr,401.0
381,10000,250,5,1,cubic,
382,10000,250,5,2,bbr,
383,10000,250,5,2,cubic,
384,10000,250,5,3,bbr,
385,10000,250,5,3,cubic,
386,10000,250,5,4,bbr,
387,10000,250,5,4,cubic,
388,10000,250,5,5,bbr,
