,bufcap,bandwidth,rtt,cc,retx_
353,10000,750,150,cubic,960.0
354,10000,750,200,bbr,70193.0
355,10000,750,200,cubic,1143.0
356,10000,750,200,bbr,68770.0
357,10000,750,200,cubic,955.0
358,10000,750,200,bbr,50852.0
359,10000,750,200,cubic,327.0
360,10000,750,25,bbr,0.0
361,10000,750,25,cubic,473.0
362,10000,750,25,bbr,0.0
363,10000,750,25,cubic,475.0
364,10000,750,25,bbr,0.0
365,10000,750,25,cubic,474.0
366,10000,750,50,bbr,2087.0
367,10000,750,50,cubic,587.0
368,10000,750,50,bbr,2020.0
369,10000,750,50,cubic,589.0
370,10000,750,50,bbr,2067.0
371,10000,750,50,cubic,542.0
372,10000,750,5,bbr,0.0
373,10000,750,5,cubic,390.0
374,10000,750,5,bbr,0.0
375,10000,750,5,cubic,401.0
376,10000,750,5,bbr,0.0
377,10000,750,5,cubic,410.0
378,10000,750,75,bbr,7525.0
379,10000,750,75,cubic,647.0
380,10000,750,75,bbr,7512.0
381,10000,750,75,cubic,658.0
382,10000,750,75,bbr,7479.0
383,10000,750,75,cubic,664.0
384,100,1000,100,bbr,204809.0
385,100,1000,100,cubic,1390.0
386,100,1000,100,bbr,202343.0
387,100,1000,100,cubic,1371.0
388,100,1000,100,bbr,216932.0
389,100,1000,100,cubic,1442.0
390,100,1000,10,bbr,266289.0
391,100,1000,10,cubic,2159.0
392,100,1000,10,bbr,262767.0
393,100,1000,10,cubic,1979.0
394,100,1000,10,bbr,270416.0
395,100,1000,10,cubic,2062.0
396,100,1000,150,bbr,180026.0
397,100,1000,150,cubic,1645.0
398,100,1000,150,bbr,180165.0
399,100,1000,150,cubic,1522.0
400,100,1000,150,bbr,189055.0
401,100,1000,150,cubic,1582.0
402,100,1000,200,bbr,196713.0
403,100,1000,200,cubic,1019.0
404,100,1000,200,bbr,206114.0
405,100,1000,200,cubic,2940.0
406,100,1000,200,bbr,202115.0
407,100,1000,200,cubic,647.0
408,100,1000,25,bbr,257403.0
409,100,1000,25,cubic,1627.0
410,100,1000,25,bbr,286316.0
411,100,1000,25,cubic,1523.0
412,100,1000,25,bbr,291242.0
413,100,1000,25,cubic,1858.0
414,100,1000,50,bbr,243999.0
415,100,1000,50,cubic,1606.0
416,100,1000,50,bbr,258385.0
417,100,1000,50,cubic,2342.0
418,100,1000,50,bbr,240092.0
419,100,1000,50,cubic,1795.0
420,100,1000,5,bbr,376536.0
421,100,1000,5,cubic,2210.0
422,100,1000,5,bbr,351477.0
423,100,1000,5,cubic,2127.0
424,100,1000,5,bbr,375566.0
425,100,1000,5,cubic,1842.0
426,100,1000,75,bbr,270297.0
427,100,1000,75,cubic,1689.0
