,bufcap,bandwidth,rtt,trial,cc,goodput_
384,100,1000,100,1,bbr,904044.0
385,100,1000,100,1,cubic,274678.0
386,100,1000,100,2,bbr,897723.0
387,100,1000,100,2,cubic,260921.0
388,100,1000,100,3,bbr,907354.0
389,100,1000,100,3,cubic,345818.0
390,100,1000,10,1,bbr,938600.0
391,100,1000,10,1,cubic,859814.0
392,100,1000,10,2,bbr,931746.0
393,100,1000,10,2,cubic,846049.0
394,100,1000,10,3,bbr,938738.0
395,100,1000,10,3,cubic,846730.0
396,100,1000,150,1,bbr,885346.0
397,100,1000,150,1,cubic,145958.0
398,100,1000,150,2,bbr,870225.0
399,100,1000,150,2,cubic,183375.0
400,100,1000,150,3,bbr,887837.0
401,100,1000,150,3,cubic,233649.0
402,100,1000,200,1,bbr,854863.0
403,100,1000,200,1,cubic,179421.0
404,100,1000,200,2,bbr,847247.0
405,100,1000,200,2,cubic,
406,100,1000,200,3,bbr,863007.0
407,100,1000,200,3,cubic,111093.0
408,100,1000,25,1,bbr,932061.0
409,100,1000,25,1,cubic,662798.0
410,100,1000,25,2,bbr,933257.0
411,100,1000,25,2,cubic,652634.0
412,100,1000,25,3,bbr,932586.0
413,100,1000,25,3,cubic,489265.0
414,100,1000,50,1,bbr,906817.0
415,100,1000,50,1,cubic,518975.0
416,100,1000,50,2,bbr,921555.0
417,100,1000,50,2,cubic,368375.0
418,100,1000,50,3,bbr,921017.0
419,100,1000,50,3,cubic,383560.0
420,100,1000,5,1,bbr,939441.0
421,100,1000,5,1,cubic,870440.0
422,100,1000,5,2,bbr,932748.0
423,100,1000,5,2,cubic,878912.0
424,100,1000,5,3,bbr,927245.0
425,100,1000,5,3,cubic,879339.0
426,100,1000,75,1,bbr,912749.0
427,100,1000,75,1,cubic,496674.0
428,100,1000,75,2,bbr,912618.0
429,100,1000,75,2,cubic,444161.0
430,100,1000,75,3,bbr,915880.0
431,100,1000,75,3,cubic,439301.0
432,100,100,100,1,bbr,92981.0
433,100,100,100,1,cubic,89217.0
434,100,100,100,2,bbr,92307.0
435,100,100,100,2,cubic,89301.0
436,100,100,100,3,bbr,92332.0
437,100,100,100,3,cubic,85479.0
438,100,100,10,1,bbr,94694.0
439,100,100,10,1,cubic,95673.0
440,100,100,10,2,bbr,94676.0
441,100,100,10,2,cubic,95673.0
442,100,100,10,3,bbr,94695.0
443,100,100,10,3,cubic,95674.0
444,100,100,150,1,bbr,91552.0
445,100,100,150,1,cubic,86383.0
446,100,100,150,2,bbr,91559.0
447,100,100,150,2,cubic,80138.0
448,100,100,150,3,bbr,90049.0
449,100,100,150,3,cubic,80145.0
450,100,100,200,1,bbr,89742.0
451,100,100,200,1,cubic,78953.0
452,100,100,200,2,bbr,89262.0
453,100,100,200,2,cubic,73254.0
454,100,100,200,3,bbr,89896.0
455,100,100,200,3,cubic,73031.0
456,100,100,25,1,bbr,94300.0
457,100,100,25,1,cubic,95537.0
458,100,100,25,2,bbr,94341.0
459,100,100,25,2,cubic,95567.0
460,100,100,25,3,bbr,94327.0
461,100,100,25,3,cubic,95567.0
462,100,100,50,1,bbr,93998.0
463,100,100,50,1,cubic,93132.0
464,100,100,50,2,bbr,93854.0
465,100,100,50,2,cubic,94117.0
466,100,100,50,3,bbr,93811.0
467,100,100,50,3,cubic,94119.0
468,100,100,5,1,bbr,94856.0
469,100,100,5,1,cubic,95700.0
470,100,100,5,2,bbr,94853.0
471,100,100,5,2,cubic,95700.0
472,100,100,5,3,bbr,94853.0
473,100,100,5,3,cubic,95700.0
474,100,100,75,1,bbr,92999.0
475,100,100,75,1,cubic,89566.0
476,100,100,75,2,bbr,93442.0
477,100,100,75,2,cubic,89738.0
478,100,100,75,3,bbr,93383.0
479,100,100,75,3,cubic,89803.0
480,100,10,100,1,bbr,9621.0
481,100,10,100,1,cubic,9572.0
482,100,10,100,2,bbr,9627.0
483,100,10,100,2,cubic,9631.0
484,100,10,100,3,bbr,9627.0
485,100,10,100,3,cubic,9631.0
486,100,10,10,1,bbr,9692.0
487,100,10,10,1,cubic,9691.0
488,100,10,10,2,bbr,9692.0
489,100,10,10,2,cubic,9691.0
490,100,10,10,3,bbr,9692.0
491,100,10,10,3,cubic,9586.0
492,100,10,150,1,bbr,9568.0
493,100,10,150,1,cubic,9583.0
494,100,10,150,2,bbr,9580.0
495,100,10,150,2,cubic,9583.0
496,100,10,150,3,bbr,9545.0
497,100,10,150,3,cubic,9583.0
498,100,10,200,1,bbr,9458.0
499,100,10,200,1,cubic,9506.0
500,100,10,200,2,bbr,9476.0
501,100,10,200,2,cubic,9534.0
502,100,10,200,3,bbr,9462.0
503,100,10,200,3,cubic,9505.0
504,100,10,25,1,bbr,9689.0
505,100,10,25,1,cubic,9689.0
506,100,10,25,2,bbr,9689.0
507,100,10,25,2,cubic,9689.0
508,100,10,25,3,bbr,9689.0
509,100,10,25,3,cubic,9689.0
510,100,10,50,1,bbr,9671.0
511,100,10,50,1,cubic,9671.0
512,100,10,50,2,bbr,9671.0
513,100,10,50,2,cubic,9671.0
514,100,10,50,3,bbr,9671.0
515,100,10,50,3,cubic,9671.0
516,100,10,5,1,bbr,9691.0
517,100,10,5,1,cubic,9691.0
518,100,10,5,2,bbr,9691.0
519,100,10,5,2,cubic,9691.0
520,100,10,5,3,bbr,9691.0
521,100,10,5,3,cubic,9691.0
522,100,10,75,1,bbr,9631.0
523,100,10,75,1,cubic,9402.0
524,100,10,75,2,bbr,9651.0
525,100,10,75,2,cubic,9651.0
526,100,10,75,3,bbr,9629.0
527,100,10,75,3,cubic,9651.0
528,100,20,100,1,bbr,19092.0
529,100,20,100,1,cubic,19098.0
530,100,20,100,2,bbr,19049.0
531,100,20,100,2,cubic,19098.0
532,100,20,100,3,bbr,19091.0
533,100,20,100,3,cubic,19098.0
534,100,20,10,1,bbr,19247.0
535,100,20,10,1,cubic,19247.0
536,100,20,10,2,bbr,19247.0
537,100,20,10,2,cubic,19247.0
538,100,20,10,3,bbr,19247.0
539,100,20,10,3,cubic,19247.0
540,100,20,150,1,bbr,18865.0
541,100,20,150,1,cubic,18987.0
542,100,20,150,2,bbr,18796.0
543,100,20,150,2,cubic,18987.0
544,100,20,150,3,bbr,18903.0
545,100,20,150,3,cubic,18987.0
546,100,20,200,1,bbr,18515.0
547,100,20,200,1,cubic,18736.0
548,100,20,200,2,bbr,18691.0
549,100,20,200,2,cubic,18869.0
550,100,20,200,3,bbr,18625.0
551,100,20,200,3,cubic,18826.0
552,100,20,25,1,bbr,19238.0
553,100,20,25,1,cubic,19239.0
554,100,20,25,2,bbr,19238.0
555,100,20,25,2,cubic,19238.0
556,100,20,25,3,bbr,19237.0
557,100,20,25,3,cubic,19239.0
558,100,20,50,1,bbr,19192.0
559,100,20,50,1,cubic,19195.0
560,100,20,50,2,bbr,19141.0
561,100,20,50,2,cubic,19195.0
562,100,20,50,3,bbr,19180.0
563,100,20,50,3,cubic,19195.0
564,100,20,5,1,bbr,19249.0
565,100,20,5,1,cubic,19249.0
566,100,20,5,2,bbr,19249.0
567,100,20,5,2,cubic,19249.0
568,100,20,5,3,bbr,19213.0
569,100,20,5,3,cubic,19249.0
570,100,20,75,1,bbr,19084.0
571,100,20,75,1,cubic,19147.0
572,100,20,75,2,bbr,19144.0
573,100,20,75,2,cubic,19147.0
574,100,20,75,3,bbr,19078.0
575,100,20,75,3,cubic,18434.0
576,100,250,100,1,bbr,227553.0
577,100,250,100,1,cubic,175318.0
578,100,250,100,2,bbr,227481.0
579,100,250,100,2,cubic,189351.0
580,100,250,100,3,bbr,228274.0
581,100,250,100,3,cubic,175417.0
582,100,250,10,1,bbr,235372.0
583,100,250,10,1,cubic,235344.0
584,100,250,10,2,bbr,234519.0
585,100,250,10,2,cubic,237329.0
586,100,250,10,3,bbr,235370.0
587,100,250,10,3,cubic,236769.0
588,100,250,150,1,bbr,223048.0
589,100,250,150,1,cubic,156123.0
590,100,250,150,2,bbr,225583.0
591,100,250,150,2,cubic,161314.0
592,100,250,150,3,bbr,223023.0
593,100,250,150,3,cubic,171613.0
594,100,250,200,1,bbr,219119.0
595,100,250,200,1,cubic,118640.0
596,100,250,200,2,bbr,222133.0
597,100,250,200,2,cubic,117919.0
598,100,250,200,3,bbr,219064.0
599,100,250,200,3,cubic,137996.0
600,100,250,25,1,bbr,235087.0
601,100,250,25,1,cubic,229583.0
602,100,250,25,2,bbr,235205.0
603,100,250,25,2,cubic,228603.0
604,100,250,25,3,bbr,234253.0
605,100,250,25,3,cubic,227488.0
606,100,250,50,1,bbr,233019.0
607,100,250,50,1,cubic,215207.0
608,100,250,50,2,bbr,232182.0
609,100,250,50,2,cubic,215173.0
610,100,250,50,3,bbr,230093.0
611,100,250,50,3,cubic,207153.0
612,100,250,5,1,bbr,235664.0
613,100,250,5,1,cubic,239027.0
614,100,250,5,2,bbr,235455.0
615,100,250,5,2,cubic,239021.0
616,100,250,5,3,bbr,234802.0
617,100,250,5,3,cubic,239026.0
618,100,250,75,1,bbr,232046.0
619,100,250,75,1,cubic,189482.0
620,100,250,75,2,bbr,230705.0
621,100,250,75,2,cubic,204944.0
622,100,250,75,3,bbr,230922.0
623,100,250,75,3,cubic,189858.0
624,100,500,100,1,bbr,454124.0
625,100,500,100,1,cubic,308505.0
626,100,500,100,2,bbr,451687.0
627,100,500,100,2,cubic,259605.0
628,100,500,100,3,bbr,454539.0
629,100,500,100,3,cubic,309034.0
630,100,500,10,1,bbr,467852.0
631,100,500,10,1,cubic,431360.0
632,100,500,10,2,bbr,468043.0
633,100,500,10,2,cubic,437741.0
634,100,500,10,3,bbr,469794.0
635,100,500,10,3,cubic,424957.0
636,100,500,150,1,bbr,443709.0
637,100,500,150,1,cubic,200629.0
638,100,500,150,2,bbr,442105.0
639,100,500,150,2,cubic,199187.0
640,100,500,150,3,bbr,439215.0
641,100,500,150,3,cubic,210370.0
642,100,500,200,1,bbr,431773.0
643,100,500,200,1,cubic,133013.0
644,100,500,200,2,bbr,435012.0
645,100,500,200,2,cubic,128045.0
646,100,500,200,3,bbr,426568.0
647,100,500,200,3,cubic,143252.0
648,100,500,25,1,bbr,467524.0
649,100,500,25,1,cubic,425656.0
650,100,500,25,2,bbr,466736.0
651,100,500,25,2,cubic,430328.0
652,100,500,25,3,bbr,461455.0
653,100,500,25,3,cubic,433109.0
654,100,500,50,1,bbr,463166.0
655,100,500,50,1,cubic,322425.0
656,100,500,50,2,bbr,459537.0
657,100,500,50,2,cubic,380717.0
658,100,500,50,3,bbr,462517.0
659,100,500,50,3,cubic,305336.0
660,100,500,5,1,bbr,465090.0
661,100,500,5,1,cubic,463174.0
662,100,500,5,2,bbr,465146.0
663,100,500,5,2,cubic,461973.0
664,100,500,5,3,bbr,470077.0
665,100,500,5,3,cubic,463170.0
666,100,500,75,1,bbr,458408.0
667,100,500,75,1,cubic,331473.0
668,100,500,75,2,bbr,457217.0
669,100,500,75,2,cubic,271719.0
670,100,500,75,3,bbr,456794.0
671,100,500,75,3,cubic,244700.0
672,100,50,100,1,bbr,46993.0
673,100,50,100,1,cubic,46720.0
674,100,50,100,2,bbr,46995.0
675,100,50,100,2,cubic,46700.0
676,100,50,100,3,bbr,46961.0
677,100,50,100,3,cubic,46799.0
678,100,50,10,1,bbr,47809.0
679,100,50,10,1,cubic,47910.0
680,100,50,10,2,bbr,47803.0
681,100,50,10,2,cubic,47900.0
682,100,50,10,3,bbr,47788.0
683,100,50,10,3,cubic,47892.0
684,100,50,150,1,bbr,45908.0
685,100,50,150,1,cubic,45418.0
686,100,50,150,2,bbr,46233.0
687,100,50,150,2,cubic,45343.0
688,100,50,150,3,bbr,46304.0
689,100,50,150,3,cubic,45416.0
690,100,50,200,1,bbr,45475.0
691,100,50,200,1,cubic,44875.0
692,100,50,200,2,bbr,45574.0
693,100,50,200,2,cubic,44780.0
694,100,50,200,3,bbr,46082.0
695,100,50,200,3,cubic,44858.0
696,100,50,25,1,bbr,47591.0
697,100,50,25,1,cubic,47871.0
698,100,50,25,2,bbr,47611.0
699,100,50,25,2,cubic,47871.0
700,100,50,25,3,bbr,47628.0
701,100,50,25,3,cubic,47871.0
702,100,50,50,1,bbr,47404.0
703,100,50,50,1,cubic,47734.0
704,100,50,50,2,bbr,47246.0
705,100,50,50,2,cubic,47734.0
706,100,50,50,3,bbr,47445.0
